FIPS,Year,Materials,Percentage,wasteCATAG
6000,2021,Remainder/Composite Plastic,0.011, Plastic
6000,2021,Glass (category which includes the following material types),0.023, Glass
6000,2021,Clear Glass Bottles and Containers - CRV,0.005, Glass
6000,2021,Clear Glass Bottles and Containers - Non-CRV,0.007, Glass
6000,2021,Green Glass Bottles and Containers - CRV,0.001, Glass
6000,2021,Brown Glass Bottles and Containers - CRV,0.002,  Glass
6000,2021,Green and Brown Glass Bottles and Containers - Non-CRV,0.003, Glass
6000,2021,Other Colored Glass Bottles and Containers,0.001, Glass
6000,2021,Remainder/Composite Glass,0.005, Glass
6000,2021,Metal (category which includes the following material types),0.049, Metal
6000,2021,Tin/Steel Cans,0.004, Metal
6000,2021,Aluminum Cans - CRV,0.002, Metal
6000,2021,Aluminum Cans - Non-CRV,0.001,Metal
6000,2021,Major Appliances,0.004, Metal
6000,2021,Other Ferrous,0.024, Metal
6000,2021,Other Non-Ferrous,0.007, Metal
6000,2021,Remainder/Composite Metal,0.007, Metal
6000,2021,Electronics (category which includes the following material types),0.009, Metal
6000,2021,Covered Video Display Devices,0.002, Other
6000,2021,Consumer Electronics and Small Equipment,0.005, Problem Materials
6000,2021,Large Equipment,0.002, Problem Materials
6000,2021,Organics (category which includes the following material types),0.284, Organics
6000,2021,"Food - Potentially Donatable - Vegetative, Food
(Perishable/Fresh)",0.015, Food
6000,2021,"Food - Potentially Donatable - Eggs, Dairy, and Dairy
Alternatives",0.002, Food
6000,2021,Food - Potentially Donatable - Meat,0.003, Food
6000,2021,Food - Potentially Donatable -Cooked/Baked/Prepared Perishable Items,0.003, Food
6000,2021,Food - Potentially Donatable - Packaged Non-perishable,0.014,Food
6000,2021,Food - Not Donatable - Meat,0.009, Food
6000,2021,Food - Not Donatable - Non-meat,0.04, Food
6000,2021,Food - Inedible,0.023, Food
6000,2021,Leaves and Grass,0.022, Food
6000,2021,Prunings and Trimmings,0.028, Organic
6000,2021,Branches and Stumps,0.01,  Organic
6000,2021,Manures,0.007,  Organic
6000,2021,Clean Dimensional Lumber,0.028,  Organic
6000,2021,Clean Engineered Wood,0.019, Clean wood
6000,2021,Clean Pallets and Crates,0.014, Wood pallets
6000,2021,Treated/Painted/Stained Wood,0.034, wood pallets
6000,2021,Other Recyclable Wood,0.002,  wood pallets
6000,2021,Remainder/Composite Organic,0.009,  organic 
6000,2021,Inerts and Other (category which includes the following material types),0.12,
6000,2021,Concrete,0.019, C&D
6000,2021,Asphalt Roofing,0.014, C&D
6000,2021,Gypsum Board,0.018, C&D
6000,2021,Carpet,0.013, C&D
6000,2021,"Rock, Soil and Fines",0.02, C&D
6000,2021,Remainder/Composite Inerts and Other,0.036, C&D
6000,2021,HHW (category which includes the following material types),0.003, C&D
6000,2021,Paint,0.001, C&D
6000,2021,Used Oil,0, C&D
6000,2021,Lead-acid (automotive) batteries,0, C&D
6000,2021,Other batteries,0, C&D
6000,2021,One-Pound or Less Propane Gas Cylinders,0, C&D
6000,2021,Pharmaceuticals,0, C&D
6000,2021,Remainder/Composite Household Hazardous,0.001, C&D
6000,2021,Special Waste (category which includes the following material types),0.052, C&D
6000,2021,Tires,0.001, C&D
6000,2021,Mattresses and Foundations,0.011,C&D
6000,2021,Bulky Items,0.036, C&D
6000,2021,Remainder/Composite Special Waste,0.004, C&D
6000,2021,Miscellaneous (category which includes the following material types),0.169,
6000,2021,Textiles - Cloth and Clothing,0.025, Textiles
6000,2021,"Textiles - Shoes, Purses, Belts",0.005, Textiles
6000,2021,Personal Protective Equipment (PPE),0.005, Textiles
6000,2021,Solar Panels,0, Hazardous waste 
6000,2021,Diapers & Sanitary Products,0.024, Other Materials
6000,2021,Miscellaneous Inorganics,0.015, Inorganics
6000,2021,Mixed Residue,0.095, Inorganics
8013,2019,Paper,0.214, Paper
8013,2019,Newsprint,0.006, Paper
8013,2019,High Grade Office Paper,0.013, Paper
8013,2019,Shredded Paper,0.003, Paper
8013,2019,Old Corrugated Cardboard,0.063, Paper
8013,2019,Magazines/Catalogs,0.012, Paper
8013,2019,Mixed Recyclable Paper,0.029, Paper
8013,2019,Polycoated/Aseptic Containers,0.003, Paper
8013,2019,Compostable Paper,0.07, Paper
8013,2019,Unrecyclable Paper,0.017, Paper
8013,2019,Plastic,0.14, Plastic 
8013,2019,#1 PET Bottles/Jars,0.008, Plastic 
8013,2019,#2 HDPE Bottles/Jars,0.007, Plastic 
8013,2019,Bottles #3-7,0.001, Plastic 
8013,2019,Other Plastic Tubs/Cups <3 Gal,0.009, Plastic 
8013,2019,Large Plastic Containers >3 Gal,0.01, Plastic 
8013,2019,Plastic Bags,0.019, Plastic 
8013,2019,Other Plastic Film,0.033, Plastic 
8013,2019,Thermoforms,0.006,
8013,2019,Expanded Polystyrene,0.004,
8013,2019,Other Rigid Plastics,0.044, 
8013,2019,Metal,0.047, Metal
8013,2019,Aluminum Cans,0.003, Metal
8013,2019,Aluminum Foil & Trays,0.002, Metal
8013,2019,Ferrous Containers,0.006, Metal
8013,2019,Other Ferrous,0.032, Metal
8013,2019,Other Non-Ferrous,0.004, Metal
8013,2019,White Goods,0, Metal
8013,2019,Glass,0.033, Glass
8013,2019,Glass Bottles and Jars,0.031, Glass
8013,2019,Other Glass,0.002, Glass
8013,2019,Organic,0.209, Glass
8013,2019,Yard Waste,0.025, 5 C&D 
8013,2019,"Branches, Limbs, Stumps",0.001, 5 C&D 
8013,2019,Food Waste,0.158, 5 C&D 
8013,2019,Other Organics,0.024, Organics
8013,2019,Problem Materials,0.159, Problem Materials
8013,2019,Large Electronics (Plug-in),0.021, Problem Materials
8013,2019,Small Electronics (Recharge),0.003, Problem Materials
8013,2019,Small Appliances,0.005, Problem Materials
8013,2019,Diapers/Sanitary Products,0.013, Problem Materials
8013,2019,Textiles/Leather,0.036, Other Materials
8013,2019,Carpet/Padding,0.008,  Other Materials
8013,2019,Batteries,0.001,  Other Materials
8013,2019,Rubber,0.018,  Other Materials
8013,2019,Tires,0.007,  Other Materials
8013,2019,Furniture/Bulky Items,0.036, Other Materials
8013,2019,Other Inorganics,0.01,  Other Materials
8013,2019,Marijuana Waste,0.001,  Other Materials
8013,2019,HHW,0.012,  Other Materials
8013,2019,Fluorescent Tubes and Bulbs,0.001,  Other Materials
8013,2019,Pharmaceuticals and Syringes,0.009,  Other Materials
8013,2019,Oil-based Paint & Finishes,0,  Other Materials
8013,2019,Latex Paint & Finishes,0.001,  Other Materials
8013,2019,Pesticides,0, Hazardous waste
8013,2019,Automotive Fluids,0, Hazardous waste
8013,2019,Other HHW,0.001, Hazardous waste
8013,2019,C&D,0.145, C&D 
8013,2019,Aggregate/Asphalt/Ceramics,0.005, Hazardous waste
8013,2019,Asphalt Shingles,0, Hazardous waste
8013,2019,Painted/Stained/Treated Wood,0.027, Clean wood
8013,2019,Clean Wood,0.039, Clean wood
8013,2019,Wood Pallets,0.032, Wood pallets
8013,2019,Clean/New Drywall,0.008, C&D
8013,2019,Demo/Painted Drywall,0.003, C&D
8013,2019,Other C&D,0.032, C&D
8013,2019,Other,0.04, C&D
8013,2019,Fines/Dirt,0.034, C&D
8013,2019,Coffee Cups Non-Compostable,0.005,other Materials
8013,2019,BPI Certified Compostables,0.001, other Materials
8013,2019,Bagged Material (BCRC Only),0, other Materials
13000,2005,Newspaper,0.048, paper
13000,2005,Corrugated Cardboard,0.11, paper
13000,2005,Office,0.034, paper
13000,2005,Magazine/Glossy,0.026, Paper
13000,2005,Paperboard,0.034, paper
13000,2005,Mixed (Other Recyclable),0.03, paper
13000,2005,Other (Non-recyclable),0.105, paper
13000,2005,Total Paper,0.387, paper
13000,2005,#1 PET Bottles,0.013, bottles
13000,2005,#2 HDPE Bottles,0.011, bottles
13000,2005,#3-#7 Bottles,0.002, bottles
13000,2005,Expanded Polystyrene,0.014, plastic
13000,2005,Film Plastic^{2},0.074, plastic
13000,2005,Other Rigid Plastic,0.044, plastic
13000,2005,Total Plastic,0.158, plastic
13000,2005,Clear,0.017, plastic
13000,2005,Green,0.004, plastic
13000,2005,Amber,0.012, plastic
13000,2005,Other,0.004, other material
13000,2005,Total Glass,0.037, Organic
13000,2005,Steel Cans,0.013, Metal
13000,2005,Aluminum Cans,0.007, Metal
13000,2005,Other Ferrous,0.026, Metal
13000,2005,Other Non-Ferrous,0.007, Metal
13000,2005,Total Metal,0.054,  Metal
13000,2005,Yard Waste,0.027,  Metal
13000,2005,Wood (non-C&D),0.019, C&D
13000,2005,Food Waste,0.12, C&D
13000,2005,Textiles,0.04, Textiles
13000,2005,Diapers,0.025, Textiles
13000,2005,Fines,0.028, Textiles
13000,2005,Other Organics,0.013, Organic
13000,2005,Total Organic,0.271, Organic
13000,2005,Drywall,0.004, C&D
13000,2005,Wood,0.025, C&D
13000,2005,Inerts,0.004,
13000,2005,Carpet,0.014, 
13000,2005,Other C&D,0.012,other 
13000,2005,Total C&D,0.06, Total 
13000,2005,Televisions,0.001, Problem Materials
13000,2005,Computers,0.001, Problem Materials
13000,2005,Other Electronics,0.018, Problem Materials
13000,2005,Tires,0.002, Other  Materials
13000,2005,HHW,0.004,Household Hazardous Waste
13000,2005,Other Inorganics,0.008, Other 
13000,2005,Total Inorganics,0.033, Other 
